serial_no,issue_date,file_number,company_name,equipment,certificate_no,online_application_no,pdf_url
17,2026-01-08,I-21/6/2026-W&M Section,GIYANA INDUSTRIES PRIVATE LIMITED,Measuring tape,17,23494,https://lm.doca.gov.in/ModelApproval/Certificates/2026/17.pdf
18,2026-01-08,I-21/3/2026-W&M Section,NIVI TECHNOLOGIES,Non-automatic weighing instrument,18,23653,https://lm.doca.gov.in/ModelApproval/Certificates/2026/18.pdf
19,2026-01-08,I-21/3/2026-W&M Section,NIVI TECHNOLOGIES,Non-automatic weighing instrument,19,23652,https://lm.doca.gov.in/ModelApproval/Certificates/2026/19.pdf
20,2026-01-08,I-21/3/2026-W&M Section,NIVI TECHNOLOGIES,Non-automatic weighing instrument,20,23654,https://lm.doca.gov.in/ModelApproval/Certificates/2026/20.pdf
21,2026-01-08,I-21/370/2025-W&M Section,SHREE BALAJI ELECTRONIC,Non-automatic weighing instrument,21,22075,https://lm.doca.gov.in/ModelApproval/Certificates/2026/21.pdf
22,2026-01-08,I-21/8/2026-W&M Section,GILBARCO VEEDER ROOT INDIA PRIVATE LIMITED,Measuring Systems for Liquids Other than Water,22,23810,https://lm.doca.gov.in/ModelApproval/Certificates/2026/22.pdf
23,2026-01-09,I-21/4/2026-W&M Section,MANGAL MURTI WEIGHING SOLUTIONS,Non-automatic weighing instrument,23,23662,https://lm.doca.gov.in/ModelApproval/Certificates/2026/23.pdf
24,2026-01-09,I-21/4/2026-W&M Section,MANGAL MURTI WEIGHING SOLUTIONS,Non-automatic weighing instrument,24,23663,https://lm.doca.gov.in/ModelApproval/Certificates/2026/24.pdf
25,2026-01-09,I-21/7/2026-W&M Section,RHINO SERVICES PRIVATE LIMITED,CNG Dispenser,25,23464,https://lm.doca.gov.in/ModelApproval/Certificates/2026/25.pdf
26,2026-01-09,I-21/377/2025-W&M Section,CONCRAFT TECHNOLOGIES PRIVATE LIMITED,Discontinuous Totalizing Automatic Weighing Instrument (Hopper weigher),26,23468,https://lm.doca.gov.in/ModelApproval/Certificates/2026/26.pdf
27,2026-01-14,I-21/9/2026-W&M Section,ESSAE -TERAOKA PRIVATE LIMITED,Non-automatic weighing instrument,27,23457,https://lm.doca.gov.in/ModelApproval/Certificates/2026/27.pdf
28,2026-01-15,I-21/10/2026-W&M Section,EVERYMANS INSTRUMENTS CO,Non-automatic weighing instrument,28,23615,https://lm.doca.gov.in/ModelApproval/Certificates/2026/28.pdf
29,2026-01-15,I-21/10/2026-W&M Section,EVERYMANS INSTRUMENTS CO,Non-automatic weighing instrument,29,23616,https://lm.doca.gov.in/ModelApproval/Certificates/2026/29.pdf
30,2026-01-15,I-21/372/2025-W&M Section,AXPERT ENTERPRISE,Non-automatic weighing instrument,30,23510,https://lm.doca.gov.in/ModelApproval/Certificates/2026/30.pdf
31,2026-01-16,I-21/14/2026-W&M Section,ORBIT WEIGHING SYSTEM,Non-automatic weighing instrument,31,23787,https://lm.doca.gov.in/ModelApproval/Certificates/2026/31.pdf
32,2026-01-16,I-21/13/2026-W&M Section,M*TECH INSTRUMENTS,Non-automatic weighing instrument,32,23789,https://lm.doca.gov.in/ModelApproval/Certificates/2026/32.pdf
33,2026-01-16,I-21/13/2026-W&M Section,M*TECH INSTRUMENTS,Non-automatic weighing instrument,33,23790,https://lm.doca.gov.in/ModelApproval/Certificates/2026/33.pdf
34,2026-01-16,I-21/13/2026-W&M Section,M*TECH INSTRUMENTS,Non-automatic weighing instrument,34,23791,https://lm.doca.gov.in/ModelApproval/Certificates/2026/34.pdf
35,2026-01-23,I-21/16/2026-W&M Section,GIYANA INDUSTRIES PRIVATE LIMITED,Measuring tape,35,23805,https://lm.doca.gov.in/ModelApproval/Certificates/2026/35.pdf
36,2026-01-27,I-21/15/2026-W&M Section,SINGHA SCALES,Non-automatic weighing instrument,23678,23678,https://lm.doca.gov.in/ModelApproval/Certificates/2026/23678.pdf
